Rotation type  |  Rotation  |  time elapsed (ns) |  time / pixel (ns)  | total instructions
row            | 0          | 2020983427         | 150                 | 2020983427
row            | 90         | 1428878205         | 106                 | 1428878205
row            | 180        | 2060546896         | 153                 | 2060546896 
row            | 270        | 1430996236         | 106                 | 1430996236  
col            | 0          | 643175679          | 48                  | 643175679 
col            | 90         | 1452092726         | 108                 | 1452092726 
col            | 180        | 685460526          | 51                  | 685460526 
col            | 270        | 1453207877         | 108                 | 1453207877 
block          | 0          | 1278055247         | 95                  | 1278055247 
block          | 90         | 1295048958         | 96                  | 1295048958 
block          | 180        | 1397037102         | 104                 | 1397037102 
block          | 270        | 1299523488         | 97                  | 1299523488 
